2025-06-16T18:23:53-03:00
Running ./bench_sorts
Run on (8 X 2594.67 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 64 KiB (x4)
  L2 Unified 512 KiB (x4)
  L3 Unified 4096 KiB (x1)
Load Average: 0.26, 0.48, 0.58
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_MergeSort/256/repeats:200",37011,18959.2,18897.4,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18924.4,18866.4,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18933.2,18875.6,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18900.2,18841.4,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18770.1,18712.6,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18786,18730.1,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18846.6,18788.3,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18858.7,18801,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18856.2,18799.3,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18859.4,18800.9,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18874.4,18814.6,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18894.1,18832.8,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18790.5,18731.4,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18751.4,18693.6,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18852.1,18793.3,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18946.5,18888.9,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,19185.5,19120.2,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18836,18777,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18871.2,18808.7,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18889,18830.2,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,20631.4,20530.2,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,20096.9,19983.8,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,19550.5,19455.3,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,19123.2,19047.4,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18892.6,18832.9,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18765,18707.9,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18748.5,18692.5,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18816.1,18759.9,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18935.5,18874.4,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18977.1,18919.4,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18919.7,18861.9,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18790.5,18735.7,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18833.5,18774.4,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18970.6,18906.6,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18969.1,18906.8,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18957.8,18894.8,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18858.3,18799.7,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18821.7,18762.3,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18735.4,18681.3,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18779.4,18722.4,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18914.2,18855.1,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18932.5,18872.5,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18957.8,18898.7,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,19012.4,18955.4,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18831.3,18773.1,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18895.6,18836.1,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18872,18809.6,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18921.3,18863.2,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,19373.9,19305.4,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,20752.7,20588.4,ns,,,,,
"BM_MergeSort/256/repeats:200",37011,18836.9,18777.1,ns,,,,,
