name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second ,label,error_occurred,error_message,threads,load
"BM_ParallelMergeSort/256/repeats:32",37653,37579.1,18374.7,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37887.6,18468.4,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37931.8,18612.3,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37866.8,18383.9,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37959.4,18394.5,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37821.5,18615.8,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37637.6,18290.1,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,38173.3,18534.4,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37843.2,18451.3,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37768.5,18466.6,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37921.5,18494.5,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37655.4,18482.9,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37773.4,18451.9,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37833.1,18624.5,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37760.5,18390.6,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,38070.8,18620.7,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37726.2,18429.4,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37858.4,18540.9,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37948.3,18549.5,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37755.6,18486.9,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37883.2,18642.2,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37915.4,18646.2,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37615.6,18317.6,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37757.5,18385.8,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37724.6,18380.7,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37741,18284.7,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37729,18272.7,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37844.6,18164.5,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37728.7,18466.9,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37992.1,18543.2,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37952.2,18504.5,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32",37653,37912.6,18520.9,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32_mean",32,37830.3,18462.3,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32_median",32,37838.2,18467.7,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32_stddev",32,131.83,119.225,ns,,,,,,1,256
"BM_ParallelMergeSort/256/repeats:32_cv",32,0.00348477,0.00645773,,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,53371.9,18534.3,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,53580.2,18391.2,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,53795.4,18405.5,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,54058.5,18521.8,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,54003.1,18518,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,54073.6,18319.7,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,53894.1,18530.5,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,53917.7,18300.9,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,53871.5,18487.5,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,54060.8,18602.9,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,53745.4,18517.7,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,53835.8,18480.7,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,53624.6,18334.5,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,54078.7,18571.2,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,53756.2,18383.3,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,54290.2,18473.6,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,54108.3,18379.5,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,53471.7,18418.9,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,53718.8,18395.6,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,54068.6,18139.9,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,54166.5,18059.8,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,54456.4,17987.1,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,54071.9,18109.3,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,53780.8,18551.7,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,53887.9,18528,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,53995.2,18676.2,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,54072.2,18487,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,54111,18546.6,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,53819.4,18498.5,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,54076.6,18517.9,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,54481.8,18281.1,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32",38006,53748.3,17927.4,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32_mean",32,53937.3,18402.4,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32_median",32,53956.4,18477.2,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32_stddev",32,250.441,182.593,ns,,,,,,1,256
"BM_ParallelMergeSort/512/repeats:32_cv",32,0.00464318,0.0099222,,,,,,,1,256
"BM_ParallelMergeSort/1024/repeats:32",37739,85780.6,18042.9,ns,,,,,,1,256
"BM_ParallelMergeSort/1024/repeats:32",37739,85723.1,18150.6,ns,,,,,,1,256
"BM_ParallelMergeSort/1024/repeats:32",37739,85676.8,17772.4,ns,,,,,,1,256
"BM_ParallelMergeSort/1024/repeats:32",37739,85835,18104.8,ns,,,,,,1,256
"BM_ParallelMergeSort/1024/repeats:32",37739,85168.3,17993.6,ns,,,,,,1,256
"BM_ParallelMergeSort/1024/repeats:32",37739,86092.8,17853.4,ns,,,,,,1,256
"BM_ParallelMergeSort/1024/repeats:32",37739,85867.2,17966.7,ns,,,,,,1,256
"BM_ParallelMergeSort/1024/repeats:32",37739,86298.7,17983.3,ns,,,,,,1,256
"BM_ParallelMergeSort/1024/repeats:32",37739,85979.5,18001.1,ns,,,,,,1,256
