,size,name,mean,std,min,max,q25,q50,q75,mode,kurtosis,coef_assim,kurtosis classification,symmetry classification,cv,bin_size,classification
0,256,MergeSort (Weiss),18786.4985,315.3655953674329,18671.3,20598.6,18680.3,18685.8,18743.625,18680.3,22.832988315134344,4.4256807373178475,Platicurtica,Assim. Pos.,0.016786821416850662,8,"Assim. Pos. &
Platicurtica"
54,262144,QuickSort (Cormen),16661129.5,28342.410641206257,16633900.0,16787100.0,16642275.0,16649150.0,16669625.0,16645600.0,5.323074591541411,1.6471388755182454,Platicurtica,Assim. Pos.,0.001701109798180625,18,"Assim. Pos. &
Platicurtica"
37,32768,QuickSort (C),2854109.15,22480.961901520197,2836620.0,2980420.0,2843107.5,2846885.0,2855330.0,2846100.0,15.192519628867252,3.273408357673856,Platicurtica,Assim. Pos.,0.007876700126034142,15,"Assim. Pos. &
Platicurtica"
38,32768,QuickSort (C++ standard),1545687.0,4228.580431103483,1543470.0,1564840.0,1544127.5,1544460.0,1544840.0,1544170.0,12.281798303860167,3.1840607127613914,Platicurtica,Assim. Pos.,0.0027357287931537772,15,"Assim. Pos. &
Platicurtica"
39,32768,QuickSort (Cormen),1770580.45,614.8164717782919,1769430.0,1773200.0,1770117.5,1770530.0,1770892.5,1770670.0,4.3877580265031115,0.8375954386748633,Platicurtica,Assim. Pos.,0.0003472400656961348,15,"Assim. Pos. &
Platicurtica"
40,65536,MergeSort (Weiss),8153726.55,55127.56170825044,8123720.0,8401710.0,8127020.0,8130995.0,8155932.5,8125270.0,13.457163327238472,3.209496836696905,Platicurtica,Assim. Pos.,0.006761026552730106,16,"Assim. Pos. &
Platicurtica"
41,65536,ParallelMergeSort (Original),1079306.9,784.4175831300412,1077700.0,1082510.0,1078777.5,1079105.0,1079730.0,1078600.0,3.689207479256174,0.908048219983851,Platicurtica,Assim. Pos.,0.0007267789941211728,16,"Assim. Pos. &
Platicurtica"
43,65536,QuickSort (C++ standard),3284842.0,10786.203080065898,3280700.0,3330510.0,3281287.5,3281540.0,3282110.0,3281230.0,11.842347599687336,3.2265043262432327,Platicurtica,Assim. Pos.,0.0032836291913175423,16,"Assim. Pos. &
Platicurtica"
44,65536,QuickSort (Cormen),3753956.95,3343.7013760141517,3750430.0,3774200.0,3752120.0,3753015.0,3754512.5,3753540.0,13.949612431312799,2.9270070749657147,Platicurtica,Assim. Pos.,0.0008907138309122462,16,"Assim. Pos. &
Platicurtica"
45,131072,MergeSort (Weiss),17145477.0,31783.12771007788,17119800.0,17265500.0,17125350.0,17132200.0,17148400.0,17126200.0,5.647197851990499,1.837571421723151,Platicurtica,Assim. Pos.,0.001853732486420639,17,"Assim. Pos. &
Platicurtica"
